연번,Element ID,"항목명
(영문)","항목명
(국문)","필수
여부",OID,항목검증룰,"관계
Element ID",최대길이,"데이터 
유형",허용치,nullFlavor,비고,항목검증룰(변경내역),Question,CRSCUBE ANSWER
174,G.k.2.1.1b,Medicinal Product Identifier (MPID),의약품식별자(MPID),비필수,TBD,"1. 비필수로 G.k.2.1.1b에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 1000자 이하인지 검증
3. 입력값이 G.k.2.1.1b 항목의 버전의 MPID 코드인지 검증
4. G.k.2.1.1b 항목에 값이 입력되었는지 검증",G.k.2.1.1a,1000,AN,IDMP,,IDMP 확정 후 사용,"1. 조건부필수값으로 G.k.2.1.1a에 항목값이 있는 경우 항목 여부 검증
1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 1000자 이하인지 검증
3. 입력값이 G.k.2.1.1a 항목의 버전의 MPID 코드인지 검증
4. G.k.2.1.1a 항목에 값이 입력되었는지 검증",- G.k.2.1.1b가 아닌 G.k.2.1.1a로 수정되어야 하는 것은 아닌 지 문의드립니다.,
175,G.k.2.1.2a,PhPID Version Date/Number,제제식별자(PhPID) 버전,비필수,,"1. 비필수로 G.k.2.1.2b에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자 이하인지 검증
3. 입력값이 보유하고 있는 PhPID 버전과 일치하는지 검증
4. G.k.2.1.2b 항목에 값이 입력되었는지 검증",G.k.2.1.2b,10,AN,IDMP,,IDMP 확정 후 사용,"1. 조건부필수값으로 G.k.2.1.2b에 항목값이 있는 경우 항목 여부 검증
1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 10자리 이하인지 검증
3. G.k.2.1.2b입력여부 검증",,
176,G.k.2.1.2b,Pharmaceutical Product Identifier (PhPID),제제식별자(PhPID),비필수,TBD,"1. 비필수로 G.k.2.1.2a에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 250자 이하인지 검증
3. 입력값이 G.k.2.1.2a 항목의 버전의 PhPID 코드인지 검증
4. G.k.2.1.2a 항목에 값이 입력되었는지 검증",G.k.2.1.2a,250,AN,IDMP,,IDMP 확정 후 사용,"1. 조건부필수값으로 G.k.2.1.2a에 항목값이 있는 경우 항목 여부 검증
1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 250자 이하인지 검증
3. 입력값이 G.k.2.1.2a 항목의 버전의 PhPID 코드인지 검증
4. G.k.2.1.2a 항목에 값이 입력되었는지 검증",,
177,G.k.2.2,Medicinal Product Name as Reported by the Primary Source,원보고자가 보고한 의약품명,필수,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 250자 이하인지 검증",,250,AN,자유기재,,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 250자 이하인지 검증",,
178,G.k.2.3.r.1,Substance / Specified Substance Name,성분명,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 250자 이하인지 검증",,250,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 250자 이하인지 검증",,
179,G.k.2.3.r.1.KR.1a,Substance ID Version,성분 코드 버전,조건부필수,,"1. 조건부필수값으로 입력값이 있는경우 검증
 1) N.2.r.3 항목값이 입력값이 국외(FR)이고, G.k.2.3.r.1.KR.1b 항목값을 입력한 경우 입력값 필수 검증
2. 허용하고 있는 (WHODrug)버전인지 검증
3. 입력값이 20자 이하인지 검증",G.k.2.3.r.1.KR.1b,20,AN,국외 이상사례보고의 경우 WHODrug 버전(Global C3 Short version) 입력,,,"1. 조건부필수값으로 입력값이 있는경우 검증
2. N.2.r.3 항목값이 입력값이 국외(FR)의 경우 입력값 검증
 1) 허용하고 있는 (WHODrug)버전인지 검증
3. 입력값이 20자 이하인지 검증
4. G.k.2.3.r.1.KR.1b에 입력된 경우 필수로 값 입력해야함",WHODD의 Version format (허용 가능한 예시)확인 부탁드립니다.(,
180,G.k.2.3.r.1.KR.1b,Substance ID,성분 코드,조건부필수,"국내=2.16.840.1.113883.3.989.5.1.10.2.2
국외=2.16.840.1.113883.6.294","1. 조건부필수값으로 입력값이 있는경우 검증
 1) N.2.r.3 항목의 입력값이 ""국내(KR)"", ""국외(FR)""인 경우 검증
 2) N.2.r.3 항목값이 시판 후 국내(KR)보고인 경우 성분코드 입력 검증
 3) N.2.r.3 항목값이 시판 후 국외(FR)보고인 경우 WHODrug CAS NUMBER 입력 검증
 4) G.k.2.1.KR.1 항목 입력하지 않았을 경우 필수값 검증
3. 입력값이 10자 이하인지 검증
4. N.2.r.3 항목값이 시판 후 국외(FR)보고인 경우 입력값이 G.k.2.3.r.1.KR.1a 항목에 입력된 버전의 코드인지 검증",G.k.2.3.r.1.KR.1a,10,AN,"국내 이상사례보고의 경우 성분기준코드 입력
국외 이상사례보고의 경우 WHODrug (Global C3 CAS NUMBER) 입력",,G.k.2.1.KR.1 항목 입력하지 않았을 경우 필수값 검증,"1. 조건부필수값으로 입력값이 있는경우 검증
2. N.2.r.3 항목의 입력값이 ""국내(KR)"", ""국외(FR)""인 경우 필수값으로 검증
 1) N.2.r.3 항목값이 시판 후 국내(KR)보고인 경우 성분코드 입력을 필수값으로 검증
 2) N.2.r.3 항목값이 시판 후 국외(FR)보고인 경우 WHODrug CAS NUMBER 입력을 필수값으로 검증
3. OID 비교 검증
4. 입력값이 10자 이하인지 검증
5. N.2.r.3 항목값이 시판 후 국외(FR)보고인 경우 입력값이 G.k.2.3.r.1.KR.1a 항목에 입력된 버전의 코드인지 검증",국외(FR)보고에서 WHODD로 coding이 안되어 있는 경우 국내서가 coding을 해야 하는데.. 막대한 License비용 등 실제 coding이 어려운 경우가 많은데. FR일 경우 미필수로 변경하는 것이 고려가능할가요?,
181,G.k.2.3.r.2a,Substance/Specified Substance TermID Version Date/Number,성분명/특정성분명 버전,비필수,,"1. 비필수로 G.k.2.3.r.2b에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자 이하인지 검증
3. 입력값이 보유하고 있는 TermID 버전과 일치하는지 검증
4. G.k.2.3.r.2b 항목에 값이 입력되었는지 검증",G.k.2.3.r.2b,10,AN,IDMP,,IDMP 확정 후 사용,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증
3. G.k.2.3.r.2b에 입력된 경우 필수로 입력되어야 함",,
182,G.k.2.3.r.2b,Substance/Specified Substance TermID,성분명/특정성분명 코드,비필수,TBD,"1. 비필수로 G.k.2.3.r.2a에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 100자 이하인지 검증
3. 입력값이 G.k.2.3.r.2a 항목의 버전의 TermID 코드인지 검증
4. G.k.2.3.r.2a 항목에 값이 입력되었는지 검증",G.k.2.3.r.2a,100,AN,IDMP,,IDMP 확정 후 사용,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 100자리 이하인지 검증
3. 입력값이 G.k.2.3.r.2a항목의 버전의 Substance TermID인지 검증
4. G.k.2.3.r.2a에 입력된 경우 필수로 입력되어야 함",,
183,G.k.2.3.r.3a,Strength (number) ,용량,비필수,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증
3. 입력값은 숫자만 허용함",G.k.2.3.r.3b,10,N,숫자,,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증
3. 입력값은 숫자만 허용함",,
184,G.k.2.3.r.3b,Strength (unit),용량(단위),조건부필수,2.16.840.1.113883.3.989.2.1.1.25,"1. 조건부필수값으로 G.k.2.3.r.3a에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 50자리 이하인지 검증
3. 입력값은 UCUM코드로 허용된 코드인지 검증",G.k.2.3.r.3a,50,AN,제한된 UCUM코드,,,"1. OID 비교 검증
2. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 조건부필수값으로 G.k.2.3.r.3a에 항목값이 있는 경우 항목 여부 검증
3. 입력값이 50자리 이하인지 검증
4. 입력값은 UCUM코드로 허용된 코드인지 검증",,
185,G.k.2.4,Identification of the Country Where the Drug Was Obtained,구입(제공) 국가,비필수,1.0.3166.1.2.2,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 2자리 이하인지 검증
3. 입력값은 알파벳만 허용함
4. 입력값이 ""ISO 3166-1 alpha-2""에 포함된 값인지 검증
5. 입력값에 ""EU"" 허용함",,2,A,"ISO 3166-1 alpha-2, EU ",,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. OID 비교 검증
3. 입력값이 2자리 이하인지 검증
4. 입력값은 알파벳만 허용함
5. 입력값이 ""ISO 3166-1 alpha-2""에 포함된 값인지 검증
6. 입력값에 ""EU"" 허용함",,
186,G.k.2.5,Investigational Product Blinded,맹검 여부,비필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값은 ""예"" 만 허용",,-,Boolean,예,,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값은 ""예"" 만 허용",,
187,G.k.3.1,Authorisation / Application Number,허가번호/신청번호,비필수,2.16.840.1.113883.3.989.2.1.3.4,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 35자리 이하인지 검증",,35,AN,자유기재,,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. OID 비교검증
3. 입력값이 35자리 이하인지 검증",,
188,G.k.3.2,Country of Authorisation / Application,허가국/신청국,조건부필수,1.0.3166.1.2.2,"1. 조건부필수항목으로 G.k.3.1 항목값이 있는 경우 항목 여부 검증
2. 입력값이 2자리 이하인지 검증
3. 입력값은 알파벳만 허용함
4. 입력값이 ""ISO 3166-1 alpha-2""에 포함된 값인지 검증
5. 입력값에 ""EU"" 허용함",G.k.3.1,2,A,"ISO 3166-1 alpha-2, EU",,,"1. 조건부필수항목으로 G.k.3.1 항목값이 있는 경우 항목 여부 검증
2. OID 비교 검증
3. 입력값이 2자리 이하인지 검증
4. 입력값은 알파벳만 허용함
5. 입력값이 ""ISO 3166-1 alpha-2""에 포함된 값인지 검증
6. 입력값에 ""EU"" 허용함",,
189,G.k.3.3,Name of Holder / Applicant,허가권자/신청자의 이름,비필수,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
1. 입력값이 60자리 이하인지 검증",,60,AN,자유기재,,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
1. 입력값이 60자리 이하인지 검증",,
190,G.k.4.r.1a,Dose (number),투여량,비필수,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 8자리 이하인지 검증
3. 입력값은 숫자만 허용함",G.k.4.r.1b,8,N,숫자,,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 8자리 이하인지 검증
3. 입력값은 숫자만 허용함
4. 항목에 값이 있는 경우 G.k.4.r.1b 항목 필수입력해야함",,
191,G.k.4.r.1b,Dose (unit),투여량(단위),조건부필수,2.16.840.1.113883.3.989.2.1.1.25,"1. 조건부필수값으로 G.k.4.r.1a에 항목값이 있는경우 항목 여부 검증
2. 입력값이 50자리 이하인지 검증
3. 입력값이 허용된 UCUM코드인지 검증",G.k.4.r.1a,50,AN,제한된 UCUM코드,,,"1. 조건부필수값으로 G.k.4.r.1a에 항목값이 있는경우 항목 여부 검증
2. OID 비교 검증
3. 입력값이 50자리 이하인지 검증
4. 입력값이 허용된 UCUM코드인지 검증",,
192,G.k.4.r.2,Number of Units in the Interval,투여간격,조건부필수,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 8자리 이하인지 검증
3. 입력값은 숫자만 허용함",G.k.4.r.3,4,N,숫자,,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 8자리 이하인지 검증
3. 입력값은 숫자만 허용함
4. 항목에 값이 있는 경우 G.k.4.r.3 항목 필수입력해야함",,
193,G.k.4.r.3,Definition of the Time Interval Unit,투여간격(단위),조건부필수,2.16.840.1.113883.3.989.2.1.1.26,"1. 조건부필수값으로  G.k.4.r.2에 항목값이 있는경우 항목 여부 검증
2. 입력값이 50자리 이하인지 검증
3. 입력값이 허용된 UCUM코드인지 검증",G.k.4.r.2,50,AN,제한된 UCUM코드,,,"1. 조건부필수값으로  G.k.4.r.2에 항목값이 있는경우 항목 여부 검증
2. OID 비교 검증
3. 입력값이 50자리 이하인지 검증
4. 입력값이 허용된 UCUM코드인지 검증",,
194,G.k.4.r.4,Date and Time of Start of Drug,시작일,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYY까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. nullflavor는 ""MSK"", ""ASKU"", ""NASK""만 허용",,-,Date/Time,CCYY (Minimum),"MSK, ASKU, NASK",,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYY까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. nullflavor는 ""MSK"", ""ASKU"", ""NASK""만 허용",,
195,G.k.4.r.5,Date and Time of Last Administration,종료일,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYY까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. nullflavor는 ""MSK"", ""ASKU"", ""NASK""만 허용
6. G.k.4.r.4 항목값보다 과거일자 입력 불가능",G.k.4.r.4,-,Date/Time,CCYY (Minimum),"MSK, ASKU, NASK",,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYY까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. nullflavor는 ""MSK"", ""ASKU"", ""NASK""만 허용
6. G.k.4.r.4 항목값보다 과거일자 입력 불가능",,
196,G.k.4.r.6a,Duration of Drug Administration (number),투여 기간,조건부필수,,"1. 조건부필수값으로 G.k.4.r.6b 항목값이 있는 경우 항목 여부 검증
2. 입력값이 5자리 이하인지 검증
3. 입력값은 숫자만 허용함",G.k.4.r.6b,5,N,숫자,,,"1. 조건부필수값으로 G.k.4.r.6b 항목값이 있는 경우 항목 여부 검증
2. 입력값이 5자리 이하인지 검증
3. 입력값은 숫자만 허용함
4. 항목에 값이 있는 경우 G.k.4.r.6b 항목 필수입력해야함",,
197,G.k.4.r.6b,Duration of Drug Administration (unit),투여 기간(단위),조건부필수,2.16.840.1.113883.3.989.2.1.1.26,"1. 조건부필수값으로 G.k.4.r.6a에 항목값이 있는경우 항목 여부 검증
2. 입력값이 50자리 이하인지 검증
3. 입력값이 허용된 UCUM코드인지 검증",G.k.4.r.6a,50,AN,제한된 UCUM코드,,,"1. 조건부필수값으로 G.k.4.r.6a에 항목값이 있는경우 항목 여부 검증
2. OID 비교 검증
3. 입력값이 50자리 이하인지 검증
4. 입력값이 허용된 UCUM코드인지 검증
5. 항목에 값이 있는 경우 G.k.4.r.6a 항목 필수입력해야함",,
198,G.k.4.r.7,Batch / Lot Number,배치/로트 번호,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 35자리 이하인지 검증",,35,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 35자리 이하인지 검증",,
199,G.k.4.r.8,Dosage Text,투여량 정보 설명,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2000자리 이하인지 검증",,2000,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2000자리 이하인지 검증",,
200,G.k.4.r.9.1,Pharmaceutical Dose Form (free text),의약품 제형,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2000자리 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"", ""UNK"" 만 허용함",,60,AN,자유기재,"ASKU, NASK, UNK",,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2000자리 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"", ""UNK"" 만 허용함",,
201,G.k.4.r.9.2a,Pharmaceutical Dose Form TermID Version Date/Number,의약품 제형 ID 버전,조건부필수,,"1. 조건부필수값으로 G.k.4.r.9.2b에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증",G.k.4.r.9.2b,25,AN,EDQM DF 버전,,,"1. 조건부필수값으로 G.k.4.r.9.2b에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증
3. G.k.4.r.9.2b에 입력된 경우 필수로 입력되어야 함",,
202,G.k.4.r.9.2b,Pharmaceutical Dose Form TermID,의약품 제형 ID,비필수,"2.16.840.1.113883.3.989.2.1.1.29
0.4.0.127.0.16.1.1.2.2","1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 100자리 이하인지 검증
3. 입력값이 G.k.4.r.9.2a항목의 버전의 의약품제형 ID인지 검증",G.k.4.r.9.2a,15,AN,EDQM DF TermID,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 100자리 이하인지 검증
3. 입력값이 G.k.4.r.9.2a항목의 버전의 의약품제형 ID인지 검증
4. G.k.4.r.9.2a에 입력된 경우 필수로 입력되어야 함",,
203,G.k.4.r.10.1,Route of Administration (free text),투여경로,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자리 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"", ""UNK"" 만 허용함",,60,AN,자유기재,"ASKU, NASK, UNK",,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자리 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"", ""UNK"" 만 허용함",,
204,G.k.4.r.10.2a,Route of Administration TermID Version Date / Number,투여경로 ID 버전,조건부필수,,"1. 조건부필수값으로 G.k.4.r.10.2b에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증",G.k.4.r.10.2b,25,AN,EDQM RoA 버전,,,"1. 조건부필수값으로 G.k.4.r.10.2b에 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증
3. G.k.4.r.10.2b에 입력된 경우 필수로 입력되어야 함",,
205,G.k.4.r.10.2b,Route of Administration TermID,투여경로 ID,비필수,"2.16.840.1.113883.3.989.2.1.1.28
0.4.0.127.0.16.1.1.2.6","1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 100자리 이하인지 검증
3. 입력값이 G.k.4.r.10.2a항목의 버전의 RoAID인지 검증",G.k.4.r.10.2a,15,AN,EDQM RoA TermID,,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 100자리 이하인지 검증
3. 입력값이 G.k.4.r.10.2a항목의 버전의 RoAID인지 검증
4. G.k.4.r.10.2a에 입력된 경우 필수로 입력되어야 함",,
206,G.k.4.r.11.1,Parent Route of Administration (free text),부모의 투여경로,비필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자리 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"", ""UNK"" 만 허용함",,60,AN,자유기재,"ASKU, NASK, UNK",,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자리 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"", ""UNK"" 만 허용함",,
207,G.k.4.r.11.2a,Parent Route of Administration TermID Version Date / Number,부모의 투여경로 ID 버전,비필수,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증",G.k.4.r.11.2b,25,AN,EDQM RoA 버전,,,"1. 비필수로 항목값이 있는 경우 항목 여부 검증
2. 입력값이 10자리 이하인지 검증
3. G.k.4.r.11.2b에 입력된 경우 필수로 입력되어야 함","- G.k.4.r.11.2a은 다음 항목(G.k.4.r.9.2a/G.k.4.r.9.2b
G.k.4.r.10.2a/G.k.4.r.10.2b )의 항목검증룰 서술과 차이가 없어 보이는데, 조건부필수가 아닌 왜 비필수로 설정되어 있는지 궁금합니다. ",
